"gene_name","A31338","A31372","A31360","A31387","A30212","A33903","A31406","A31388","A31288","A31390","A30231","A31428","A31432","A31467","A31459"
"HOXD3",-0.476032166061384,0.740315079074204,0.0572559016619315,-0.161090283965858,-0.559592419469935,0.529457518587555,-0.0707018815554582,0.594792472088673,-0.207770916869803,-0.0987163659918611,-0.470267570574627,-0.0918407871437277,0.600052469172377,0.788620975182102,-0.301072254746051
"HR",-0.845520521878642,-1.9018792323998,-1.09112200449547,-0.214635154437962,-0.384020329179258,-1.64169914926347,-1.0732184655517,-1.54834504330137,-0.775722981112464,-0.771014564268574,-1.43052339664646,-1.72623048691982,-1.64725772409552,-1.16885952850917,-0.565037630035937
"HSF1",1.94973021046605,0.701825670164557,1.0823090245551,1.93402094023124,0.97047070273415,1.27159330748871,0.6612010793015,0.683822883277031,1.85103313745207,1.83753439112603,0.687109221219847,0.653711899154256,1.92739504531883,1.09591540642838,1.13463909984973
"HSF2",1.27742388314309,1.55825093922814,0.830848215969829,1.63967767040566,1.6593402949549,1.43673576497609,1.333310099921,1.94586754489924,1.80038750343553,1.95005839424517,1.95678171056865,1.80930025334653,1.34376539333379,1.27440924157303,0.552501647025157
"HSF4",0.333933577654844,0.458522071110754,0.334132052581929,0.347933206102785,0.147230828761116,0.477344651134802,-0.140168692738906,0.265222502540623,0.290094972822254,0.646679400110005,1.17953115095145,0.459773156317013,0.228946874073126,0.126469597069035,0.200624055663629
"IKZF1",0.355479166638015,0.221570926718542,-0.81707118563047,-0.0806363200367084,0.735379676366636,-0.473838651815984,0.676754420719808,0.143710482949341,0.0476428522054189,0.216130150020508,0.0678861630393451,0.0301680734190553,-0.14109796244335,-0.0810331386133666,0.734196647458477
"ING4",1.86101284150256,1.05956941307337,1.95779583275481,2.1982377566962,1.79056612554854,1.90037858299122,2.00028050071656,0.826082914144376,1.76687963033701,2.11978122529125,0.589795708171633,1.13070974859099,0.713534023457834,1.48172223090385,1.51530983070954
"IRF2",1.9444454398713,1.34067823855691,1.9539748522077,0.653629308037647,1.29221134278284,1.1231295900305,1.61823159131805,0.496399959721853,1.95070976060153,1.32312034608533,0.736054116654544,1.59793511551724,1.62803014602766,1.88355809660642,1.88476935753415
"IRF3",0.867024927293665,0.684018726782095,0.820494487842562,1.11030305609266,1.35474173929239,0.778385840310489,1.69139742679075,0.849869442793523,0.774067756543573,1.64875308748077,0.978052252766497,0.903577111473484,0.764999844049225,0.694969426138718,1.39047768769648
"IRF4",0.775219079096619,-0.67797924552056,-0.0485692377814939,-0.049521763347388,0.910978306394171,-0.0415786565467984,1.24078480077226,0.537092748288041,0.29996385535008,0.407860133600354,0.112246102507353,-0.366889852052885,-0.066390640733152,-0.385377842629843,1.28930014852897
"IRF5",-0.621913321508258,-1.26107273957017,-1.10459549890119,-0.463995071531684,-0.942991321343777,-0.737364957227709,-1.06582823314738,-0.517644721043254,-1.73904063540182,-0.226580974198922,-1.30164647032689,-1.03176835437676,-0.316449585483179,-0.731219992360913,-0.453871094043948
"IRF6",0.36632380069155,-0.174725033296919,-0.227796562535013,0.155685072452504,0.483512611558905,-0.150243647527965,0.309736212624448,0.00158252606624449,0.401140080876236,0.379287051610555,0.46828348366334,-0.761522985110792,-0.087030110319347,-0.634330283114894,0.149322157618135
"IRF7",-1.49141084857498,-1.92939867291372,-1.71963848225172,-0.90763704226065,-0.80820387043709,-0.781165040467601,-1.04004962097845,-1.47425279471258,-1.79220636043002,-0.790818092184993,-0.945643241909561,-2.00053822078609,-1.33538943668306,-1.54089550114479,-0.393357311086529
"IRF8",1.11052488964007,0.315150557148531,0.892400424842073,1.21097683050612,1.5495397456358,-0.231849726636799,1.84531215379306,1.22488788875925,1.53481319628532,0.780501161248318,0.886026600180281,0.282406056816582,0.584414255411938,0.494536602239661,1.49474671876004
"IRF9",0.271567607145465,-0.5467816118776,-0.221343311729714,0.31438873132062,1.02807711416501,-0.0830958507780861,0.948487857047457,-0.351334892796349,0.131384007698693,1.37403831808296,-0.387932329343118,-0.295700880844053,-0.598859090493915,-0.216570117165103,0.668004222932879
"IRX1",0.193000851402059,0.557487779300795,0.789129884834419,0.219889622990556,-0.00700310232947417,-0.33576634581241,0.0785811762398586,-0.105706518303792,-0.0455273568726041,0.646788415445964,-0.690118647113992,0.410069860079044,-0.172583927525136,0.61754346252802,0.146374469895343
"JUN",0.98466158110888,1.14147642219307,1.6624075311978,1.24719556262465,1.62265039460699,0.904758940263643,1.48349895604495,1.19042517084444,1.53611495321915,1.44413516373199,1.01612738831339,1.75845959982023,1.25641801794889,1.43495597752872,1.35231639765897
"JUNB",-0.79755891815969,-1.00967162550602,-1.22698333732687,-0.75314854835228,-0.420748006266427,-0.678676202578943,-0.427173449473736,-0.697351514582044,-0.645977613109759,-0.356854591555658,-0.95434037414092,-1.10698371294993,-0.79670350689331,-0.318702731347161,0.0436872194039324
"JUND",-0.611176945623831,-0.834725014229214,-0.564102249490497,-0.570315820792729,0.255960200544814,-1.03648719163439,-0.0904499479945173,0.0124099927043487,0.0177511017162343,0.212744336438097,-0.718988888474057,-0.769584324836681,-0.659568272083563,-0.0905376172844004,0.707769081122532
"KAT2B",0.267963369625272,-0.185957333540029,-0.111038660499692,0.350503950748017,0.828662418578732,-0.346773813791506,1.10591881475413,0.500101877517788,0.763684100898458,0.492819880853399,0.0492574779648396,-0.369168345097204,0.0299098707502198,-0.3272459409189,0.613686774624081
"KAT5",1.91545405911964,1.62587549832168,1.68743222606666,1.47784029857452,1.81445978132701,1.56406104367116,1.76935061827337,1.71729109747558,1.71386568624657,1.59814096816897,1.35933839912008,1.72916019415835,1.64049629509323,1.91360670182902,1.95682326776878
"KCNIP3",0.945912615385932,-0.429324059476359,0.0960439029152802,0.494726584953851,-0.17852156908722,-0.204927901826605,-0.379542219072551,-0.270310243628863,-0.233344199995164,0.00336290325914116,0.0446321530639927,-0.426382762256823,-0.397852295628955,-0.615024060750952,0.125552646197351
"KDM2A",-0.117584343971053,0.283319836156908,0.200495743412995,0.298383375970553,0.387199046760544,0.357020634735076,0.707609041748806,0.770237913847266,0.0798031766983518,-0.0693452267782896,1.03072455844798,0.463252752039738,0.594724675300874,0.725697319769981,-0.260974670956042
"KDM5A",0.396111992586127,0.00473105351562739,0.68288629428809,0.107333359312801,0.962203800859667,0.294867999805654,0.613389383430697,0.463487878837651,0.390866587009371,0.530428926142643,0.686242316423974,0.131538756496047,0.0125195131002304,0.55175812787877,0.549358224796566
"KDM5B",-1.12781440347444,-1.53661269044664,-1.67180517106299,-1.09307861784053,-1.37419246730397,-1.30911572172031,-1.58916531005087,-1.73713535130158,-1.57284663755145,-1.39904128592287,-1.12074381948961,-1.5159110551889,-1.91931220477727,-1.26951524871894,-1.82286844552242
"KLF1",0.928469952812458,1.41376833867072,0.905682387981976,1.51400006785865,1.5930685180526,0.827409588665932,0.365076902607722,2.34002459301456,-0.785760031848567,1.63990296396453,-0.422047932757361,1.79973616706665,0.155564666778571,0.857018541372766,1.50367186613953
"KLF10",0.562755291744323,0.00588516697127913,-0.145713259553795,-0.278093970087373,0.994383721195457,0.535124513376207,0.553627939431786,0.502220598489639,0.613415507887014,1.12775683058543,0.938981258577162,0.341684287345996,0.335284430789889,0.18545355651563,0.645459133006775
"KLF11",-1.61387102270274,-1.49863854547179,-0.604014693799454,-1.39969063402092,-1.10847097290222,-1.52595408035768,-1.62314346087033,-0.564167756716292,-1.62682151693178,-0.422235719698583,-0.752542236518704,-0.802681136776578,-1.67857348909746,-0.852347743950019,-0.620618565046013
"KLF13",0.980653360485647,0.116304076873032,0.903631753258861,0.96655396800725,1.28147959502651,0.420884230316668,0.883547385238291,1.08254079516577,0.721545279275236,0.527689239063265,1.23151725695321,0.390934687825024,0.522814479818249,0.81140721040091,0.817101300970128
"KLF15",0.217707838262794,-0.290599299390411,0.140611343379207,0.783811614459144,0.100771233688559,-0.688257487964215,0.114582375357437,-0.196433805800475,0.507687203662656,0.467444166539266,0.144145477228974,-0.148236436910777,-0.409287875117081,-0.215645785358609,-0.238898075405628
"KLF2",1.59456412778773,0.674384688709614,1.2171322598695,0.12985771253119,1.31958728219542,0.494771345090436,1.00763542943206,1.00517891656629,0.484893544096804,1.5237445634672,-0.316962734210016,1.07088164248686,0.715832477337008,1.20885784056253,1.15795500509285
"KLF3",-0.627069330616561,-0.388848959059195,0.0645664981800753,-0.484803142126506,0.568390286901183,-0.528258339402653,-0.0716332008535019,0.362522722113983,-0.580829251664874,0.285894307416073,-1.58231080393269,0.221154848949705,-0.340525764276814,0.12690460390243,0.276374453909972
"KLF4",-0.811426104481772,-0.506816997044846,-0.571068796205693,-0.283287198190685,-0.504655631318676,-0.399302794391512,-0.044517910167529,-0.391385226061673,0.0350160745474542,-0.579859739964552,-0.182455742734259,-0.446363395608793,0.161992636158151,-0.755530409904066,-0.082157047545513
"KLF5",1.57645318695406,0.28693620982841,1.1823937441689,0.884490709262879,1.80107766379375,0.228759422089011,1.01773991727083,0.968260851653171,1.48272055359414,1.59418181921682,1.40877052794514,0.218805157973557,0.367554614753317,0.58427417449286,1.15175682900699
"KLF6",1.6124543670137,0.290373827502091,0.268459673299945,0.606713471995038,0.558728786795025,1.05075134743069,0.613248964638403,0.670567260069004,0.413523866023844,0.847699781784955,1.49673554358805,0.145606962880405,0.497236301829455,-0.0922053677662952,1.72248123728895
"KLF7",0.565940146406732,-0.00323487995352985,-0.162845567261575,0.189187059669813,-0.157377125025062,-0.09534468495385,0.0301387009575014,0.0334575232629747,-0.0945713475147526,0.0534653767496168,0.222500809588232,-0.047099924934659,-0.235856088147856,-0.0685462777333946,0.015263876178664
"KLF8",-1.262083984073,-0.673175781747734,-0.42428436600411,-1.4336022973968,-0.999023736012194,-1.1546437379144,-0.662473274250145,-0.553965648218321,-0.716820643150355,0.685732089363528,-0.694997034862583,-0.155198294818854,-0.807679689954505,0.105721118912288,-0.903747558101648
"KLF9",0.207275415036627,-0.510278478224206,0.0626020378124655,0.756994148875202,0.0119845904708693,-0.0175222744764663,0.350253573435986,0.266798167860001,0.653440883295055,0.209497987728459,-0.215785628624213,-0.344433187189664,-0.0449610052453497,-0.267238364233679,0.017845364220169
"LHX8",-0.974741166687356,-0.930248046301862,-0.763867757840126,-1.86864006641448,-0.586434356665214,-0.515986714729109,-1.32962527781076,-0.60337090572537,-0.832026987785153,-1.10508586019652,-0.479508413364625,-0.827681041269847,-1.22170273553748,-0.465057872391998,-1.29181615088642
"LITAF",1.95741445236166,1.52482201565953,1.35116182750496,1.23661488064654,1.91507112696783,1.5313794768307,1.90760583168321,1.75941617745995,1.6821173859787,0.855398984466833,1.38649007096169,1.5292073917956,1.49651174081351,1.13785144633033,1.92540864868096
"LMO2",1.36053719292536,2.50808168076417,1.19318678384271,1.16868380093044,1.40704868447389,2.01124302606997,1.94620554777239,0.872993699857957,1.41721166575096,0.571415425200343,1.74269997846289,0.709323418248438,1.32555942994619,2.19913895708615,0.925975562328327
"LRRFIP1",-0.877550351852393,-0.0213602623739925,-0.18659149084041,-0.121239807963928,-0.253115505063341,-0.587294722383485,-0.287831930418017,-0.271534056355352,0.156325684323226,-0.10423661365238,-0.440720534985872,-0.467928678880332,-0.567085951728695,-0.534368921619834,0.0851070221776341
"LYL1",0.752663069486552,1.47123906613595,0.99417831518276,1.18213847542751,-0.211892810729527,1.53087833492624,-0.0292304054837165,0.554924070090665,0.100133631910005,1.19865474595286,0.918907167114146,1.47032383384569,1.32866786465836,1.80456240279903,0.627604563172267
"MAF",-0.202823237764432,-0.0918762995167063,0.237099479227233,0.0601298564346453,-0.00683895978679094,-0.562202900777382,0.19986881257128,0.0721050961624077,-0.202079021944878,0.421040218583747,-0.320033247684957,-0.291544949996894,-0.305569983754809,0.159670248126424,0.123500276836132
"MAFA",-1.06129014666763,-1.03166337227633,-1.50351985523827,-1.67776729063377,-1.66736614473381,-1.08739035839451,-1.35813910633438,-0.969321925213464,-1.29966656294256,-0.839627806064173,-2.00391047710527,-1.17243534125275,-1.12195498450912,-0.975715885991753,-0.701428655539949
"MAFB",-1.92367596133242,-1.35152539132542,-1.51486988825916,-1.70438828254932,-0.971048166458144,-1.922149740461,-1.83458883778498,-0.480224697554243,-1.85300209847742,-1.7796663627879,-2.18260090487796,-1.63346375332355,-0.976963315398716,-1.30713209480031,-1.72875352719058
"MAFK",0.607309281919295,1.19824101310599,0.96589722580293,0.414305323885613,0.696565598967626,1.22489337288421,0.61258826301176,0.621926620606732,0.421810289695024,1.22575744613697,-0.20305697502059,0.868568181211561,0.308956022792391,1.65402499909397,1.42931330560164
